time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,20,6,0,0
2026-06-09 00:00:00+00:00,12,6,0,0
2026-06-10 00:00:00+00:00,2,2,0,0
2026-06-11 00:00:00+00:00,22,7,0,0
2026-06-12 00:00:00+00:00,13,7,0,0
2026-06-13 00:00:00+00:00,19,6,0,0
2026-06-14 00:00:00+00:00,35,12,0,0
2026-06-15 00:00:00+00:00,25,10,0,0
2026-06-16 00:00:00+00:00,25,10,0,0
2026-06-17 00:00:00+00:00,32,10,0,0
2026-06-18 00:00:00+00:00,27,8,0,0
2026-06-19 00:00:00+00:00,25,7,0,0
2026-06-20 00:00:00+00:00,41,12,0,0
2026-06-21 00:00:00+00:00,31,7,0,0
